Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -74.8792    28.3726    28.2574     0.7472    -0.0399    -0.6634     0.6247    -0.2986     0.7215    -0.2269    -0.9536    -0.1982
  -74.2350    28.3308    27.6995     0.7589    -0.0617    -0.6483     0.0005    -0.9955     0.0953    -0.6512    -0.0726    -0.7554
  -73.6031    28.2633    27.1518     0.7414    -0.1021    -0.6633    -0.5206    -0.7112    -0.4724    -0.4235     0.6955    -0.5804
  -72.9907    28.1547    26.5685     0.6891    -0.1531    -0.7083    -0.6708    -0.5045    -0.5436    -0.2741     0.8498    -0.4503
  -72.4074    27.9947    25.9069     0.6096    -0.2017    -0.7666    -0.7703    -0.3791    -0.5127    -0.1872     0.9031    -0.3865
  -71.8638    27.7815    25.1420     0.5213    -0.2383    -0.8195    -0.8443    -0.2841    -0.4544    -0.1245     0.9287    -0.3493
  -71.3710    27.5237    24.2787     0.4414    -0.2612    -0.8585    -0.8942    -0.2074    -0.3967    -0.0744     0.9427    -0.3251
  -70.9400    27.2406    23.3575     0.3777    -0.2738    -0.8845    -0.9253    -0.1461    -0.3499    -0.0335     0.9506    -0.3085
  -70.5812    26.9591    22.4504     0.3311    -0.2800    -0.9011    -0.9436    -0.0986    -0.3160    -0.0004     0.9549    -0.2968
  -70.3035    26.7104    21.6497     0.2987    -0.2828    -0.9115    -0.9541    -0.0649    -0.2925     0.0236     0.9570    -0.2892
  -70.0662    26.4749    20.8892     0.2736    -0.2840    -0.9190    -0.9601    -0.0232    -0.2786     0.0578     0.9585    -0.2790

